PROJECT_ID,LATIN_NAME,STATION_CODE,STATION_NAME,LONGITUDE,LATITUDE,PARAM,N,Conc,SPECIES_ID,TISSUE_NAME,NIVA_CODE,trend
3699,Mytilus edulis,76A2,Risøya, Risør,9.28104,58.7327,CD,NA,0.11,17,Whole soft body,SB,1
3699,Mytilus edulis,91A2,Ørland area, Outer Trondheimsfjord,9.56386,63.651438,CD,NA,0.16,17,Whole soft body,SB,1
3699,Mytilus edulis,97A2,Mjelle, Bodø area,14.621928,67.41271,CD,NA,0.11,17,Whole soft body,SB,1
3699,Mytilus edulis,97A3,NA,NA,NA,CD,NA,0.13,17,Whole soft body,SB,0
3699,Mytilus edulis,98A2,Svolvær airport area,14.6627,68.24917,CD,NA,0.23,17,Whole soft body,SB,1
3699,Mytilus edulis,I023,Singlekalven, Hvaler,11.136779,59.095112,CD,NA,0.2,17,Whole soft body,SB,1
3699,Mytilus edulis,I024,Kirkøy, Hvaler,10.987336,59.079053,CD,NA,0.195,17,Whole soft body,SB,1
3699,Mytilus edulis,I131A,Lastad, Søgne,7.7083,58.05557,CD,NA,0.14,17,Whole soft body,SB,1
3699,Mytilus edulis,I133,Odderøya, Kristiansand harbour,8.00166666666667,58.1316666666667,CD,NA,0.21,17,Whole soft body,SB,1
3699,Mytilus edulis,I241,Nordnes, Bergen harbour,5.303955,60.4007721666667,CD,NA,0.14,17,Whole soft body,SB,3
3699,Mytilus edulis,I301,Akershuskaia, Inner Oslofjord,10.7363333333333,59.9053333333333,CD,NA,0.19,17,Whole soft body,SB,1
3699,Mytilus edulis,I304,Gåsøya, Inner Oslofjord,10.589,59.8513333333333,CD,NA,0.23,17,Whole soft body,SB,2
3699,Mytilus edulis,I306,Håøya, Inner Oslofjord,10.5551666666667,59.7133333333333,CD,NA,0.17,17,Whole soft body,SB,2
3699,Mytilus edulis,I714,Sylterøya, Langesundfjord,9.70384,59.0514,CD,NA,0.23,17,Whole soft body,SB,0
3699,Mytilus edulis,I964,NA,NA,NA,CD,NA,0.16,17,Whole soft body,SB,1
3699,Mytilus edulis,I965,Moholmen, Inner Ranfjord,14.12537,66.31162,CD,NA,0.17,17,Whole soft body,SB,3
3699,Mytilus edulis,I969,Bjørnbærviken,  Inner Ranfjord,14.0349,66.28022,CD,NA,0.13,17,Whole soft body,SB,1
3699,Mytilus edulis,10A2,Skallnes, Outer Varangerfjord,30.341745,70.137283,DDEPP,NA,0.116,17,Whole soft body,SB,1
3699,Mytilus edulis,11X,Brashavn, Outer Varangerfjord,29.741,69.8993,DDEPP,NA,0.09249,17,Whole soft body,SB,1
3699,Mytilus edulis,22A,Espevær, Outer Bømlafjord,5.15203,59.58711,DDEPP,NA,0.153,17,Whole soft body,SB,1
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,DDEPP,NA,0.27,17,Whole soft body,SB,1
3699,Mytilus edulis,31A,Solbergstrand, Mid Oslofjord,10.6515,59.6155,DDEPP,NA,0.42,17,Whole soft body,SB,1
3699,Mytilus edulis,36A,Færder, Outer Oslofjord,10.525,59.0274,DDEPP,NA,0.21,17,Whole soft body,SB,1
3699,Mytilus edulis,51A,Byrkjenes, Inner Sørfjord,6.550954,60.084292,DDEPP,NA,2.37,17,Whole soft body,SB,1
3699,Mytilus edulis,52A,Eitrheimsneset, Inner Sørfjord,6.532933,60.096771,DDEPP,NA,1.84,17,Whole soft body,SB,1
3699,Mytilus edulis,56A,Kvalnes, Mid Sørfjord,6.602,60.2205,DDEPP,NA,16.3,17,Whole soft body,SB,1
3699,Mytilus edulis,57A,Krossanes, Outer Sørfjord,6.689524,60.387073,DDEPP,NA,3.07,17,Whole soft body,SB,1
3699,Mytilus edulis,63A,Ranaskjer, Ålvik, Hardangerfjord,6.40502,60.42096,DDEPP,NA,1.04,17,Whole soft body,SB,1
3699,Mytilus edulis,64A,Utne, Outer Sørfjord,6.6223,60.4239,DDEPP,NA,4.82,17,Whole soft body,SB,1
3699,Mytilus edulis,65A,Vikingneset, Mid Hardangerfjord,6.15266666666667,60.2423333333333,DDEPP,NA,0.652,17,Whole soft body,SB,1
3699,Mytilus edulis,71A,Bjørkøya, Langesundfjord,9.75366666666667,59.0233333333333,DDEPP,NA,0.126,17,Whole soft body,SB,1
3699,Mytilus edulis,76A2,Risøya, Risør,9.28104,58.7327,DDEPP,NA,0.319,17,Whole soft body,SB,0
3699,Mytilus edulis,I133,Odderøya, Kristiansand harbour,8.00166666666667,58.1316666666667,DDEPP,NA,0.281,17,Whole soft body,SB,1
3699,Mytilus edulis,I301,Akershuskaia, Inner Oslofjord,10.7363333333333,59.9053333333333,DDEPP,NA,0.508,17,Whole soft body,SB,1
3699,Mytilus edulis,I304,Gåsøya, Inner Oslofjord,10.589,59.8513333333333,DDEPP,NA,0.154,17,Whole soft body,SB,1
3699,Mytilus edulis,I714,Sylterøya, Langesundfjord,9.70384,59.0514,DDEPP,NA,0.119,17,Whole soft body,SB,0
3699,Mytilus edulis,10A2,Skallnes, Outer Varangerfjord,30.341745,70.137283,HCB,NA,0.33599,17,Whole soft body,SB,1
3699,Mytilus edulis,11X,Brashavn, Outer Varangerfjord,29.741,69.8993,HCB,NA,0.33799,17,Whole soft body,SB,1
3699,Mytilus edulis,22A,Espevær, Outer Bømlafjord,5.15203,59.58711,HCB,NA,0.33899,17,Whole soft body,SB,0
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,HCB,NA,0.33499,17,Whole soft body,SB,0
3699,Mytilus edulis,31A,Solbergstrand, Mid Oslofjord,10.6515,59.6155,HCB,NA,0.34899,17,Whole soft body,SB,0
3699,Mytilus edulis,36A,Færder, Outer Oslofjord,10.525,59.0274,HCB,NA,0.33799,17,Whole soft body,SB,0
3699,Mytilus edulis,51A,Byrkjenes, Inner Sørfjord,6.550954,60.084292,HCB,NA,0.31599,17,Whole soft body,SB,1
3699,Mytilus edulis,52A,Eitrheimsneset, Inner Sørfjord,6.532933,60.096771,HCB,NA,0.32599,17,Whole soft body,SB,1
3699,Mytilus edulis,56A,Kvalnes, Mid Sørfjord,6.602,60.2205,HCB,NA,0.31399,17,Whole soft body,SB,2
3699,Mytilus edulis,57A,Krossanes, Outer Sørfjord,6.689524,60.387073,HCB,NA,0.32699,17,Whole soft body,SB,1
3699,Mytilus edulis,63A,Ranaskjer, Ålvik, Hardangerfjord,6.40502,60.42096,HCB,NA,0.34799,17,Whole soft body,SB,1
3699,Mytilus edulis,65A,Vikingneset, Mid Hardangerfjord,6.15266666666667,60.2423333333333,HCB,NA,0.33099,17,Whole soft body,SB,1
3699,Mytilus edulis,71A,Bjørkøya, Langesundfjord,9.75366666666667,59.0233333333333,HCB,NA,0.33999,17,Whole soft body,SB,1
3699,Mytilus edulis,76A2,Risøya, Risør,9.28104,58.7327,HCB,NA,0.33099,17,Whole soft body,SB,0
3699,Mytilus edulis,I133,Odderøya, Kristiansand harbour,8.00166666666667,58.1316666666667,HCB,NA,0.34199,17,Whole soft body,SB,1
3699,Mytilus edulis,I301,Akershuskaia, Inner Oslofjord,10.7363333333333,59.9053333333333,HCB,NA,0.34099,17,Whole soft body,SB,1
3699,Mytilus edulis,I304,Gåsøya, Inner Oslofjord,10.589,59.8513333333333,HCB,NA,0.33599,17,Whole soft body,SB,0
3699,Mytilus edulis,I714,Sylterøya, Langesundfjord,9.70384,59.0514,HCB,NA,0.32099,17,Whole soft body,SB,0
3699,Mytilus edulis,10A2,Skallnes, Outer Varangerfjord,30.341745,70.137283,HG,NA,0.009,17,Whole soft body,SB,1
3699,Mytilus edulis,11X,Brashavn, Outer Varangerfjord,29.741,69.8993,HG,NA,0.01,17,Whole soft body,SB,1
3699,Mytilus edulis,15A,Gåsøya-Ullerøya, Farsund,6.9159,58.04605,HG,NA,0.012,17,Whole soft body,SB,1
3699,Mytilus edulis,22A,Espevær, Outer Bømlafjord,5.15203,59.58711,HG,NA,0.023,17,Whole soft body,SB,1
3699,Mytilus edulis,26A2,Vågsvåg, Outer Nordfjord,5.04878333333333,61.9362166666667,HG,NA,0.023,17,Whole soft body,SB,1
3699,Mytilus edulis,28A2,NA,NA,NA,HG,NA,0.03,17,Whole soft body,SB,0
3699,Mytilus edulis,30A,Gressholmen,  Inner Oslofjord,10.711,59.88362,HG,NA,0.015,17,Whole soft body,SB,1
3699,Mytilus edulis,31A,Solbergstrand, Mid Oslofjord,10.6515,59.6155,HG,NA,0.015,17,Whole soft body,SB,1
3699,Mytilus edulis,35A,Mølen, Mid Oslofjord,10.49499,59.48359,HG,NA,0.014,17,Whole soft body,SB,1
3699,Mytilus edulis,36A,Færder, Outer Oslofjord,10.525,59.0274,HG,NA,0.009,17,Whole soft body,SB,1
3699,Mytilus edulis,51A,Byrkjenes, Inner Sørfjord,6.550954,60.084292,HG,NA,0.041,17,Whole soft body,SB,1
3699,Mytilus edulis,52A,Eitrheimsneset, Inner Sørfjord,6.532933,60.096771,HG,NA,0.031,17,Whole soft body,SB,2
3699,Mytilus edulis,56A,Kvalnes, Mid Sørfjord,6.602,60.2205,HG,NA,0.041,17,Whole soft body,SB,1
3699,Mytilus edulis,57A,Krossanes, Outer Sørfjord,6.689524,60.387073,HG,NA,0.033,17,Whole soft body,SB,1
3699,Mytilus edulis,63A,Ranaskjer, Ålvik, Hardangerfjord,6.40502,60.42096,HG,NA,0.02,17,Whole soft body,SB,1
3699,Mytilus edulis,64A,Utne, Outer Sørfjord,6.6223,60.4239,HG,NA,0.017,17,Whole soft body,SB,1
3699,Mytilus edulis,65A,Vikingneset, Mid Hardangerfjord,6.15266666666667,60.2423333333333,HG,NA,0.022,17,Whole soft body,SB,1
